InvoiceDate,Quantity,Price
2009-12-02 15:41:00,11,2.1
2009-12-02 15:41:00,1,2.1
2009-12-02 15:41:00,1,1.95
2009-12-02 15:41:00,1,3.75
2009-12-02 15:41:00,3,12.75
2009-12-02 15:41:00,1,9.95
2009-12-02 15:41:00,2,1.95
2009-12-02 15:41:00,1,1.65
2009-12-02 15:41:00,1,1.65
2009-12-02 15:41:00,1,1.65
2009-12-02 15:41:00,2,0.85
2009-12-02 15:41:00,1,0.85
2009-12-02 15:41:00,1,1.65
2009-12-02 15:41:00,10,0.85
2009-12-02 15:41:00,20,0.85
2009-12-02 15:41:00,1,14.95
2009-12-02 15:41:00,1,4.95
2009-12-02 15:41:00,1,2.55
2009-12-02 15:41:00,2,2.55
2009-12-02 15:41:00,12,1.25
2009-12-02 15:41:00,1,1.65
2009-12-02 15:41:00,1,2.95
2009-12-02 15:41:00,5,2.95
2009-12-02 15:41:00,2,1.25
2009-12-02 15:41:00,1,4.25
2009-12-02 15:41:00,3,3.75
2009-12-02 15:41:00,1,12.75
2009-12-02 15:41:00,1,3.95
2009-12-02 15:41:00,1,2.95
2009-12-02 15:41:00,1,3.75
2009-12-02 15:41:00,1,1.65
2009-12-02 15:41:00,1,3.75
2009-12-02 15:41:00,16,0.42
2009-12-02 15:41:00,1,2.1
2009-12-02 15:41:00,1,1.95
2009-12-02 15:41:00,3,1.25
2009-12-02 15:41:00,2,1.25
2009-12-02 15:41:00,3,1.95
2009-12-02 15:41:00,4,0.42
2009-12-02 15:41:00,1,1.25
2009-12-02 15:41:00,2,2.1
2009-12-02 15:41:00,1,1.95
2009-12-02 15:41:00,1,3.75
2009-12-02 15:41:00,3,5.49
2009-12-02 15:41:00,2,1.25
2009-12-02 15:41:00,1,2.95
2009-12-02 15:41:00,1,1.49
2009-12-02 15:41:00,2,5.49
2009-12-02 15:41:00,3,3.75
2009-12-02 15:41:00,4,0.42
2009-12-02 15:41:00,2,2.1
2009-12-02 15:41:00,1,4.95
2009-12-02 15:41:00,1,4.95
2009-12-02 15:41:00,4,4.95
2009-12-02 15:41:00,1,1.65
2009-12-02 15:41:00,1,2.1
2009-12-02 15:41:00,4,1.95
2009-12-02 15:41:00,12,0.85
2009-12-02 15:41:00,1,12.75
2009-12-02 15:41:00,1,2.95
2009-12-02 15:41:00,1,3.75
2009-12-02 15:41:00,4,1.55
2009-12-02 15:41:00,2,0.85
2009-12-02 15:41:00,3,4.95
2009-12-02 15:41:00,2,1.65
2009-12-02 15:41:00,1,1.25
2009-12-02 15:41:00,3,2.55
2009-12-02 15:41:00,1,2.1
2009-12-02 15:41:00,1,2.1
2009-12-02 15:41:00,1,2.95
2009-12-02 15:41:00,1,7.95
2009-12-02 15:41:00,1,3.75
2009-12-02 15:41:00,1,4.95
2009-12-02 15:41:00,2,0.95
2009-12-02 15:41:00,1,2.1
2009-12-02 15:41:00,1,2.1
2009-12-02 15:41:00,1,1.95
2009-12-02 15:41:00,1,2.1
2009-12-02 15:41:00,1,2.1
2009-12-02 15:41:00,1,2.1
2009-12-02 15:41:00,1,2.1
2009-12-02 15:41:00,1,5.95
2009-12-02 15:41:00,2,3.75
2009-12-02 15:41:00,1,3.75
2009-12-02 15:41:00,1,2.95
2009-12-02 15:41:00,1,1.25
2009-12-02 15:41:00,1,7.95
2009-12-02 15:41:00,1,2.95
2009-12-02 15:41:00,1,5.45
2009-12-02 15:41:00,1,4.95
2009-12-02 15:41:00,1,8.49
2009-12-02 15:41:00,2,2.95
2009-12-02 15:41:00,1,8.95
2009-12-04 14:29:00,1,1.65
2009-12-04 14:29:00,1,2.1
2009-12-04 14:29:00,1,2.1
2009-12-04 14:29:00,1,0.85
2009-12-04 14:29:00,4,0.42
2009-12-04 14:29:00,2,9.95
2009-12-04 14:29:00,1,2.1
2009-12-04 14:29:00,1,9.95
2009-12-04 14:29:00,1,9.95
2009-12-04 14:29:00,3,2.95
2009-12-04 14:29:00,1,1.65
2009-12-04 14:29:00,4,1.65
2009-12-04 14:29:00,5,0.85
2009-12-04 14:29:00,1,4.65
2009-12-04 14:29:00,1,2.95
2009-12-04 14:29:00,1,0.95
2009-12-04 14:29:00,1,1.25
2009-12-04 14:29:00,1,2.1
2009-12-04 14:29:00,6,2.95
2009-12-04 14:29:00,3,2.95
2009-12-04 14:29:00,1,1.95
2009-12-04 14:29:00,1,2.1
2009-12-04 14:29:00,1,2.55
2009-12-04 14:29:00,1,3.35
2009-12-04 14:29:00,1,0.85
2009-12-04 14:29:00,3,1.25
2009-12-04 14:29:00,1,2.55
2009-12-04 14:29:00,2,3.95
2009-12-04 14:29:00,2,2.1
2009-12-04 14:29:00,1,1.45
2009-12-04 14:29:00,1,12.75
2009-12-04 14:29:00,1,1.25
2009-12-04 14:29:00,1,1.25
2009-12-04 14:29:00,3,3.75
2009-12-04 14:29:00,1,1.45
2009-12-04 14:29:00,2,1.25
2009-12-04 14:29:00,1,3.95
2009-12-04 14:29:00,2,1.65
2009-12-04 14:29:00,1,1.45
2009-12-04 14:29:00,1,1.25
2009-12-04 14:29:00,5,0.29
2009-12-04 14:29:00,1,5.49
2009-12-04 14:29:00,1,1.25
2009-12-04 14:29:00,3,2.95
2009-12-04 14:29:00,1,2.1
2009-12-04 14:29:00,1,1.25
2009-12-04 14:29:00,1,1.25
2009-12-04 14:29:00,1,3.75
2009-12-04 14:29:00,1,1.65
2009-12-04 14:29:00,10,0.85
2009-12-04 14:29:00,2,1.65
2009-12-04 14:29:00,1,0.42
2009-12-04 14:29:00,2,3.75
2009-12-04 14:29:00,1,3.75
2009-12-04 14:29:00,1,4.25
2009-12-04 14:29:00,3,0.85
2009-12-04 14:29:00,1,2.1
2009-12-04 14:29:00,1,2.1
2009-12-04 14:29:00,1,5.49
2009-12-04 14:29:00,1,1.45
2009-12-04 14:29:00,3,1.65
2009-12-04 14:29:00,1,2.1
2009-12-04 14:29:00,1,2.1
2009-12-04 14:29:00,1,3.75
2009-12-04 14:29:00,1,4.95
2009-12-04 14:29:00,1,14.95
2009-12-04 14:29:00,7,0.42
2009-12-04 14:29:00,4,3.75
2009-12-07 15:26:00,1,39.95
2009-12-07 15:26:00,1,1.65
2009-12-07 15:26:00,1,3.75
2009-12-07 15:26:00,4,0.85
2009-12-07 15:26:00,20,0.12
2009-12-07 15:26:00,1,1.65
2009-12-07 15:26:00,20,0.85
2009-12-07 15:26:00,1,1.95
2009-12-07 15:26:00,1,1.95
2009-12-07 15:26:00,1,1.65
2009-12-07 15:26:00,1,2.1
2009-12-07 15:26:00,1,1.69
2009-12-07 15:26:00,1,1.25
2009-12-07 15:26:00,1,1.25
2009-12-07 15:26:00,1,1.65
2009-12-07 15:26:00,1,1.25
2009-12-07 15:26:00,1,2.1
2009-12-07 15:26:00,1,2.55
2009-12-07 15:26:00,2,2.95
2009-12-07 15:26:00,1,2.1
2009-12-07 15:26:00,1,2.1
2009-12-07 15:26:00,2,2.1
2009-12-07 15:26:00,2,1.25
2009-12-07 15:26:00,1,1.25
2009-12-07 15:26:00,1,1.25
2009-12-07 15:26:00,1,0.85
2009-12-07 15:26:00,1,4.95
2009-12-07 15:26:00,1,0.85
2009-12-07 15:26:00,2,1.95
2009-12-07 15:26:00,1,1.45
2009-12-07 15:26:00,3,1.65
2009-12-07 15:26:00,1,3.75
2009-12-07 15:26:00,2,3.75
2009-12-07 15:26:00,1,3.95
2009-12-07 15:26:00,1,4.95
2009-12-07 15:26:00,2,1.25
2009-12-07 15:26:00,1,1.65
2009-12-07 15:26:00,1,3.75
2009-12-07 15:26:00,1,4.25
2009-12-07 15:26:00,1,3.75
2009-12-07 15:26:00,1,5.49
2009-12-07 15:26:00,1,3.75
2009-12-07 15:26:00,8,2.1
2009-12-07 15:26:00,2,8.95
2009-12-07 15:26:00,2,3.75
2009-12-07 15:26:00,1,2.1
2009-12-07 15:26:00,1,0.85
2009-12-07 15:26:00,1,3.45
2009-12-07 15:26:00,1,2.55
2009-12-07 15:26:00,2,0.85
2009-12-07 15:26:00,1,5.45
2009-12-07 15:26:00,1,6.75
2009-12-07 15:26:00,1,2.55
2009-12-07 15:26:00,1,4.95
2009-12-07 15:26:00,1,9.95
2009-12-07 15:26:00,1,9.95
2009-12-07 15:26:00,1,9.95
2009-12-07 15:26:00,4,9.95
2009-12-07 15:26:00,1,3.75
2009-12-07 15:26:00,1,4.95
2009-12-07 15:26:00,1,7.95
2009-12-07 15:26:00,5,4.95
2009-12-07 15:26:00,2,5.49
2009-12-07 15:26:00,1,2.1
2009-12-07 15:26:00,1,2.1
2009-12-07 15:26:00,1,1.25
2009-12-07 15:26:00,1,2.95
2009-12-07 15:26:00,3,2.1
2009-12-07 15:26:00,4,6.35
2009-12-07 15:26:00,2,9.95
2009-12-07 15:26:00,1,9.95
2009-12-07 15:26:00,3,1.25
2009-12-07 15:26:00,1,9.95
